pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^[a-f0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9322_1.txt;1.21;0.0;0.0;0.29;0.12;0.4;0.0;0.36;0.24;0.02;0.02;0.18;0.25;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15};../runGen4Rest/hyper-03-08/internetSources-between_30_1.txt;0.0;0.03;0.03;0.86;7.7;1.0;0.02;0.28;0.91;0.1;1.2;1.45;3.03;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;../runGen4Rest/hyper-03-08/internetSources-between_84_1.txt;0.02;0.0;0.0;0.31;0.12;0.4;0.0;0.25;0.11;0.02;0.02;0.16;0.24;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^(429496729[0-6]|42949672[0-8]\d|4294967[01]\d{2}|429496[0-6]\d{3}|42949[0-5]\d{4}|4294[0-8]\d{5}|429[0-3]\d{6}|42[0-8]\d{7}|4[01]\d{8}|[1-3]\d{9}|[1-9]\d{8}|[1-9]\d{7}|[1-9]\d{6}|[1-9]\d{5}|[1-9]\d{4}|[1-9]\d{3}|[1-9]\d{2}|[1-9]\d|\d)$;../runGen8/texts/missing-hyper2/missing-20-08_08_1.txt;0.01;0.01;0.0;0.74;0.14;TO;0.0;0.3;0.08;0.01;0.01;0.16;0.26;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
^(\d|\d{1,9}|1\d{1,9}|20\d{8}|213\d{7}|2146\d{6}|21473\d{5}|214747\d{4}|2147482\d{3}|21474835\d{2}|214748364[0-7])$;../runGen8/texts/missing-hyper2/missing-20-08_16_1.txt;0.02;0.02;0.0;0.7;0.15;0.73;0.0;0.3;0.1;0.02;0.01;0.16;0.24;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
""((\d{4}|\d{2})-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)-(\d{4}|\d{2}))|((\d{4}|\d{2})-\d{2}-(\d{4}|\d{2}))|((\d{4}|\d{2})\/(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\/(\d{4}|\d{2}))|((\d{4}|\d{2})\/(\d{3}|\d{2})\/(\d{4}|\d{2}))|([0-3][0-9]((st)|(nd)|(rd)|(th))((\s)?)(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec))"""", """"Bill dated 27-May-18 for your airtel fixedline/broadband ID ##### has been sent at abc@abc.com from ebill@abc.com. Due amount: Rs 2,358.82, due date: 15-Jun-18"";../runGen8/texts/missing-hyper2/missing-20-08_23_1.txt;0.0;0.08;0.06;1.21;TO;TO;0.0;0.26;3.79;0.26;7.67;4.32;4.27;1.58;0;0;0;0;TO;TO;ERR;0;0;0;0;0;0;0;11.0
"", ""([^%]{500}[^\n]+)[^%]*;../runGen8/texts/missing-hyper2/missing-20-08_26_1.txt;3.43;1.07;0.01;0.4;0.21;0.45;0.09;0.24;0.26;0.02;0.02;0.06;0.38;0.95;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000332
"", ""."", ""<f:validateRegex pattern=""([a-zA-Z_0-9])\.{4,32}"" />;../runGen8/texts/missing-hyper2/missing-20-08_29_1.txt;0.01;0.01;0.03;0.61;0.86;0.66;0.04;0.29;0.09;0.02;0.02;0.13;0.43;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
"", ""[ ]"", ""[+]46"", ""\+46"", ""[+]\d{46}"", ""[+46];../runGen8/texts/missing-hyper2/missing-20-08_30_1.txt;0.02;0.01;0.01;0.46;0.14;0.61;0.0;0.32;0.07;0.03;0.02;0.05;0.31;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000054
"", ""[- \w().[\]!#,&*+:'/]{1,80};../runGen8/texts/missing-hyper2/missing-20-08_31_1.txt;0.02;0.02;0.01;0.92;0.16;0.9;0.0;0.29;0.15;0.02;0.02;0.05;0.08;1.22;0;1;1;1;1;1;ERR;0;ERR;1;1;1;;1;17.000005
"", ""[-+&/,A-z0-9\s]{1,127};../runGen8/texts/missing-hyper2/missing-20-08_32_1.txt;0.04;0.02;0.01;0.4;0.18;0.48;0.0;0.28;0.08;0.02;0.02;0.04;0.36;0.73;0;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000008
"", ""\\X{20,}"", ""\\X{20,}"", """", ""\;../runGen8/texts/missing-hyper2/missing-20-08_33_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.28;0.08;0.01;ERR;0.02;0.07;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR;21.000116
"", ""\d{4}\d{2}\d{2}"", ""\d{4}\d{2}\d{2}"", ""d{2}"", ""\d{4}"", ""(\d{4})(\d{2})(\d{2});../runGen8/texts/missing-hyper2/missing-20-08_34_1.txt;0.02;0.1;0.01;0.4;0.14;0.68;0.0;0.3;0.06;0.01;0.02;0.04;0.26;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.0
"", ""pattern=""[0-9]{7}"""", ""input( type=""tel"", pattern=""\d{7}"" )"", ""<input type=""tel"" pattern=""d{7}"">;../runGen8/texts/missing-hyper2/missing-20-08_35_1.txt;0.04;0.05;0.01;0.46;0.13;0.59;0.0;0.28;0.07;0.01;0.01;0.04;0.25;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000011
"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"")"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"",std::regex_constants::extended);../runGen8/texts/missing-hyper2/missing-20-08_36_1.txt;0.82;0.02;0.02;0.52;0.65;0.77;0.01;0.31;0.15;0.02;0.08;0.1;0.79;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000088
"", ""{1,24};../runGen8/texts/missing-hyper2/missing-20-08_37_1.txt;0.01;0.01;0.01;0.38;0.15;0.43;0.0;0.26;0.08;0.03;0.02;0.04;0.31;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000006
""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+)"""", ""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+);../runGen8/texts/missing-hyper2/missing-20-08_40_1.txt;0.02;0.02;0.01;0.5;0.22;1.42;0.01;0.3;0.09;0.01;0.02;0.05;0.42;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.00708
""I - (Fab|Opt) - [0-9]+ - ([0-9]{4}/[0-9]{2}/[0-9]{2}) ([0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3}) - .+ Bus / (.+) : 500|.+|003([0-9]{7}).+"""", ;../runGen8/texts/missing-hyper2/missing-20-08_41_1.txt;0.02;0.44;0.02;0.44;0.71;3.17;0.06;0.28;0.26;0.03;0.02;0.06;0.38;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.0
""USSS"",(\d+\.\d{12}),(\d+\.\d{12});../runGen8/texts/missing-hyper2/missing-20-08_43_1.txt;0.02;0.04;0.0;0.4;0.13;0.47;0.0;0.29;0.08;0.02;0.02;0.03;0.24;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.001015
""[0-9]{0,14}"""", ""{0,14};../runGen8/texts/missing-hyper2/missing-20-08_45_1.txt;0.04;0.01;0.03;0.54;1.6;0.86;0.03;0.29;0.41;0.04;0.02;0.2;0.53;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000003
""[A-Z0-9]{3}_[ -~]{1,28}"""", ""[A-Z0-9]{3}_[ -~]{1,28}"", ""nginx: [emerg] invalid condition ""[A-Z0-9]"" in /etc/nginx/nginx.conf:29;../runGen8/texts/missing-hyper2/missing-20-08_46_1.txt;0.0;0.14;0.0;0.36;0.12;7.45;0.0;0.28;0.07;0.0;0.01;0.02;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
""[\d\-\s]{10,25}"" to match your criteria"", ""\d"", ""\w;../runGen8/texts/missing-hyper2/missing-20-08_47_1.txt;0.01;0.02;0.01;1.09;0.64;1.14;0.02;0.29;0.16;0.02;0.02;0.06;0.41;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000052
""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*"""", ""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*;../runGen8/texts/missing-hyper/missingHyper_9053_1.txt;0.02;0.01;0.04;0.63;TO;0.96;0.02;0.26;TO;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;0;TO;TO;TO
(.{0,200}(pattern).{0,200});../runGen4Rest/hyper-03-08/stackoverflow-between_9014_1.txt;0.15;0.01;0.04;0.54;193.66;1.09;0.04;0.25;0.09;9.34;0.02;27.87;24.83;11.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.700214
(.{1,147}\s)\s*;../runGen4Rest/hyper-03-08/stackoverflow-between_9015_1.txt;0.04;0.08;0.0;0.33;0.13;0.4;0.0;0.3;0.07;0.01;0.02;0.04;0.26;0.51;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300143
(.{1,50})"", ""(.*)"", ""(.*);../runGen4Rest/hyper-03-08/stackoverflow-between_9016_1.txt;0.02;0.38;0.01;0.32;0.37;0.38;0.1;0.26;0.16;0.02;0.02;0.03;0.28;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.30002
(.{1,78},)(.{1,78});../runGen4Rest/hyper-03-08/stackoverflow-between_9017_1.txt;0.02;0.25;0.0;0.32;0.12;0.36;0.0;0.27;0.06;0.02;0.01;0.03;0.23;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{100});../runGen4Rest/hyper-03-08/stackoverflow-between_9018_1.txt;0.01;0.21;0.01;0.3;0.14;0.35;0.0;0.23;0.08;0.02;0.02;0.03;0.22;0.56;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{100}\S*)\s;../runGen4Rest/hyper-03-08/stackoverflow-between_9019_1.txt;0.0;0.07;0.0;0.36;0.15;0.5;0.01;0.25;0.08;0.02;0.02;0.04;0.29;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.013948
(.{10}AT.*CA.{10})"", ""(.{10})AT(.*)CA(.{10});../runGen4Rest/hyper-03-08/stackoverflow-between_9020_1.txt;0.05;0.12;0.04;0.53;TO;1.58;0.02;0.28;TO;0.04;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;11.05368
(.{14})"", ""(.{8});../runGen4Rest/hyper-03-08/stackoverflow-between_9021_1.txt;0.01;0.14;0.0;0.31;0.12;0.38;0.0;0.24;0.08;0.0;0.02;0.04;0.22;0.48;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{160}\S*)\s*;../runGen4Rest/hyper-03-08/stackoverflow-between_9022_1.txt;2.3;0.24;0.01;0.38;0.82;0.39;0.04;0.25;0.23;0.02;0.02;0.09;0.3;0.56;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{16}).*"", ""(.{3})(.{3}).*;../runGen4Rest/hyper-03-08/stackoverflow-between_9023_1.txt;0.01;0.32;0.0;0.31;0.41;0.4;0.1;0.24;0.16;0.04;0.02;0.04;0.27;0.47;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{18})"", "".{53}(.{18})"", "".{53};../runGen4Rest/hyper-03-08/stackoverflow-between_9024_1.txt;0.0;0.26;0.0;0.36;0.14;0.57;0.0;0.25;0.08;0.02;0.02;0.03;0.25;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.636364
(.{200})(aaa)(.{200})"", "".{200}aaa.{200};../runGen4Rest/hyper-03-08/stackoverflow-between_9025_1.txt;TO;0.87;ERR;44.32;73.61;1.74;94.63;0.27;63.03;0.01;0.02;3.21;24.96;17.44;TO;1;ERR;0;0;0;0;0;0;1;1;0;0;0;10.471765
(.{30});../runGen4Rest/hyper-03-08/stackoverflow-between_9026_1.txt;0.0;0.2;0.0;0.31;0.12;0.38;0.0;0.26;0.08;0.01;0.02;0.04;0.23;0.62;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{30}.*\s);../runGen4Rest/hyper-03-08/stackoverflow-between_9027_1.txt;2.17;0.1;0.01;0.35;0.4;0.38;0.07;0.3;0.2;0.02;0.02;0.04;0.26;0.66;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300029
(.{35});../runGen4Rest/hyper-03-08/stackoverflow-between_9028_1.txt;0.01;0.2;0.0;0.32;0.13;0.34;0.0;0.24;0.08;0.01;0.02;0.04;0.28;0.58;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{4})(.{4})(.{4})(.{4})(.{4})(.{4})(.{4})(.{4})(.{4})(.*);../runGen4Rest/hyper-03-08/stackoverflow-between_9029_1.txt;0.01;0.2;0.01;0.32;0.39;3.59;0.09;0.28;0.18;0.02;0.02;0.03;0.26;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(.{4})tvsh(.{4})data(.{8})([\x20-\x7F]+)"", ""tvsh.{4}data.{8}([\x20-\x7F]);../runGen4Rest/hyper-03-08/stackoverflow-between_9030_1.txt;3.76;0.06;0.04;0.61;5.0;6.5;0.04;0.24;0.69;0.04;0.13;0.65;1.62;1.36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.29394
(.{6}22.{5}\W)(.{6}33.{5});../runGen4Rest/hyper-03-08/stackoverflow-between_9031_1.txt;0.01;0.14;0.0;0.77;0.15;0.88;0.02;0.24;0.07;0.03;0.02;0.05;0.24;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;12.40909
(0[289][0-9]{2})|(0[89][0-9]{2})|([1-2]{1}[0-9]{1}[0-9]{2})|(2[9][0-1]{1}[1-4]{1})|([3-7]{1}[0-5]{1}[0-9]{2})|([7-9]{1}[8-9]{1}[0-9]{2})"", ""\d{4}"", ""(08) 6318 9975;../runGen4Rest/hyper-03-08/stackoverflow-between_9032_1.txt;0.03;0.06;0.04;0.63;7.88;0.66;0.02;0.22;1.23;0.21;2.74;1.79;1.35;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.334664
(0x[a-f0-9]{40});../runGen4Rest/hyper-03-08/stackoverflow-between_9033_1.txt;1.31;0.19;0.04;0.52;2.0;0.76;0.02;0.29;0.54;0.06;0.7;0.32;0.6;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(0{11}|1{11}|2{11}|3{11}|4{11}|5{11}|6{11}|7{11}|8{11}|9{11});../runGen4Rest/hyper-03-08/stackoverflow-between_9034_1.txt;0.04;0.0;0.08;0.58;5.76;0.8;0.02;0.27;0.83;0.09;6.06;2.48;1.07;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(1){11,}|(2){11,}|(3){11,}|(4){11,}|(5){11,}|(6){11,}|(7){11,}|(8){\u0022\u0022\u0022\u002211,}|(9){11,}|(0){11,};../runGen4Rest/hyper-03-08/stackoverflow-between_9036_1.txt;0.01;ERR;ERR;0.55;20.01;0.6;0.0;0.26;2.5;0.41;6.03;6.04;0.05;1.25;0;ERR;ERR;0;0;0;ERR;ERR;0;0;0;0;;0;10.651608
(1,2,3,4,{fred:don:max:rat:grp},45,67,mat,jhon,{a:b:1:2:sd[{1:2}:{4:5}]:45:67:P[{34:56:34}:{uni:cast:r}]:c{q:ew:3:4}:1:2:3:cf{2:4:5:8}:6},4,fr{24:45:67},5,NOL)"", ""{[],[]}"", ""(1,2,3,4,{fred,don,max,rat,grp},45,67,mat,jhon,{a,b,1,2,sd[{1,2},{4,5}],45,67,P[{34,56,34},{uni,cast,r}],c{q,ew,3,4},1,2,3,cf{2,4,5,8},6},4,fr{24,45,67},5,NOL);../runGen4Rest/hyper-03-08/stackoverflow-between_9037_1.txt;ERR;0.04;0.03;0.64;0.22;1.27;0.0;0.27;0.05;0.01;0.03;0.09;0.07;0.61;ERR;0;0;0;0;0;ERR;0;"premature end of char-class: /(1.2.3.4.{fred:don:max:rat:grp}.45.67.mat.jhon.{a:b:1:2:sd[{1:2}:{4:5}]:45:67:P[{34:56:34}:{uni:cast:r}]:c{q:ew:3:4}:1:2:3:cf{2:4:5:8}:6}.4.fr{24:45:67}.5.NOL)"". ""{[].[]}"". ""(1.2.3.4.{fred.don.max.rat.grp}.45.67.mat.jhon.{a.b.1.2.sd[{1.2}.{4.5}].45.67.P[{34.56.34}.{uni.cast.r}].c{q.ew.3.4}.1.2.3.cf{2.4.5.8}.6}.4.fr{24.45.67}.5.NOL)/###0";0;0;0;;0;10.300248
(8\d{2})[ -]+(\d{2})[ -]+(\d{2})[ -]+(\d{2})"", ""(5\d{2})[ -]+(\d{2})[ -]+(\d{2})[ -]+(\d{2})"", ""(\d{2})[ -]+(\d{2})[ -]+(\d{2})"", ""(2)[ -]+(\d{2})[ -]+(\d{2})[ -]+(\d{2});../runGen4Rest/hyper-03-08/stackoverflow-between_9038_1.txt;0.02;0.01;0.03;0.63;3.19;1.4;0.02;0.24;0.76;0.04;0.02;0.56;1.72;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300004
(8|9)"", ""[0-9]{0,7}"", ""6[0-9]{0,7}"", ""(8|9)[0-9]{0,7};../runGen4Rest/hyper-03-08/stackoverflow-between_9039_1.txt;0.0;0.08;0.0;0.32;0.12;0.38;0.0;0.28;0.06;0.01;0.01;0.03;0.23;0.62;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300024
(9[0-5[7-9]]{1}[\d]{10})|([0-2]\d{11});../runGen4Rest/hyper-03-08/stackoverflow-between_9040_1.txt;0.04;0.09;0.04;0.58;4.32;0.59;0.0;0.26;0.08;0.12;1.56;0.87;0.23;0.7;0;0;0;0;0;0;1;0;1;0;0;0;1;0;10.328988
(=?.{8,24})((:?[a-z]*)(:?[0-9]*)(:?[A-Z]*)(:?\W*))"", ""(=?.{8,24})((:?[a-z]+)(:?[0-9]+)(:?[A-Z]+)(:?\W+));../runGen4Rest/hyper-03-08/stackoverflow-between_9041_1.txt;0.04;0.1;0.03;1.08;TO;1.82;0.02;0.27;TO;0.03;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.739534
(AT){3}"", ""C{6}"", ""(GA){4}"", ""(C{6}|(GA){4}|(AT){3});../runGen4Rest/hyper-03-08/stackoverflow-between_9042_1.txt;0.0;0.05;0.0;0.33;0.15;0.41;0.0;0.27;0.08;0.0;0.02;0.03;0.21;0.67;1;1;1;1;1;0;1;0;1;1;1;1;1;1;10.5
(A[a-zA-Z]{8})"", ""[0-9]"", ""[0-9a-zA-Z]"", ""(E[a-zA-Z]{8})"", ""([a-zA-Z\-]{16})"", ""[a-zA-Z]"", ""(e[a-zA-Z]{10})"", ""([0-9]{8});../runGen4Rest/hyper-03-08/stackoverflow-between_9043_1.txt;0.01;0.01;0.04;0.58;3.4;0.95;0.04;0.28;0.09;0.01;0.02;0.76;1.45;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.3005
(BE0\d\d\d\d\d\d\d\d\d|BE0\d\d\d\.\d\d\d\.\d\d\d)"", ""(BE(\d)?(\d){9}|BE(\d)?(\d){3}\.(\d){3}\.(\d){3})"", ""(BE0(\d){9}|BE0(\d){3}\.(\d){3}\.(\d){3});../runGen4Rest/hyper-03-08/stackoverflow-between_9044_1.txt;0.02;0.05;0.03;0.65;3.52;1.14;0.02;0.28;0.43;0.08;0.57;0.67;1.2;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(CCGTCAATTC[AC]TTT[AG]AGT)(.{50});../runGen4Rest/hyper-03-08/stackoverflow-between_9045_1.txt;0.01;0.19;0.0;0.31;0.12;0.42;0.0;0.26;0.06;0.02;0.02;0.04;0.22;0.53;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(CCGTCAATTC[AC]TTT[AG]AGT)(.{50})"", ""[AG]"", ""CCGTCAATTC[AC]TTT[AG]AGT(.{50})"", ""A|G;../runGen4Rest/hyper-03-08/stackoverflow-between_9046_1.txt;0.04;0.01;0.06;0.54;2.17;0.6;0.14;0.26;0.62;0.08;1.03;0.37;0.52;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300002
(DOB: \d{1,2}-\d{1,2}-\d{1,4}|D.O.B: \d{1,2}\/[A-Z]{1,}\/\d{1,4}|Date of Birth \d{1,2}-\d{1,2}-\d{1,4}|date of birth: \d{1,2}\/\d{1,2}\/\d{1,4});../runGen4Rest/hyper-03-08/stackoverflow-between_9047_1.txt;0.0;0.02;0.03;0.66;5.4;0.63;0.0;0.23;1.47;0.02;1.68;0.86;1.46;0.7;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;11.092114
(G{x})([ACGT]{1,7})(G{x})([ACGT]{1,7})(G{x})([ACGT]{1,7})(G{x});../runGen4Rest/hyper-03-08/stackoverflow-between_9048_1.txt;0.04;0.1;0.04;0.55;2.22;0.86;0.0;0.26;0.43;0.1;0.39;0.39;0.08;0.55;0;0;0;0;0;0;ERR;0;0;0;0;0;;0;10.300032
(O|T)\d{9}T[DO \d]{0,25}O[\d ]{5};../runGen4Rest/hyper-03-08/stackoverflow-between_9049_1.txt;0.02;0.1;0.01;0.45;0.14;0.46;0.0;0.26;0.06;0.01;0.01;0.03;0.27;0.5;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(O|T)\d{9}T[D\d]{25}O[\d ]{5};../runGen4Rest/hyper-03-08/stackoverflow-between_9050_1.txt;0.02;0.05;0.06;0.55;0.82;0.62;0.02;0.27;0.16;0.02;0.08;0.22;0.6;0.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(Password@(\d{2,6}))|(Pa\$\$w0rd@(\d{2,6}))|(Password#(\d{2,6}))|(Pa\$\$w0rd#(\d{2,6}))|(Password_(\d{2,6}))|(Pa\$\$w0rd_(\d{2,6})).$;../runGen4Rest/hyper-03-08/stackoverflow-between_9051_1.txt;0.03;0.02;0.04;0.62;1.56;0.72;0.02;0.27;0.34;0.04;2.03;1.42;1.33;0.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300008
(Size: )(\d+)"", ""(Modify: )([0-9]{4}\-[0-9]{2}\-[0-9]{2}\s[0-9]{2}\:[0-9]{2}\:[0-9]{2})"", ""(Size: )(\d+)"", ""(Modify: )([0-9]{4}\-[0-9]{2}\-[0-9]{2}\s[0-9]{2}\:[0-9]{2}\:[0-9]{2});../runGen4Rest/hyper-03-08/stackoverflow-between_9052_1.txt;0.01;0.1;0.02;0.67;0.88;0.82;0.0;0.25;0.21;0.02;0.25;0.2;0.76;0.65;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
(S{3,32})"", ""\S{3,32};../runGen4Rest/hyper-03-08/stackoverflow-between_9053_1.txt;0.0;0.24;0.0;0.3;0.13;0.37;0.0;0.26;0.07;0.02;0.02;0.04;0.25;0.49;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(T)(\d{9})(T)(\d{0,19}\s{0,19}\w{0,19})O;../runGen4Rest/hyper-03-08/stackoverflow-between_9054_1.txt;0.01;0.01;0.03;0.99;20.11;1.68;6.26;0.24;2.65;0.47;0.02;2.62;5.41;1.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300059
(Target1.{1,100}.{1,100}Target2);../runGen4Rest/hyper-03-08/stackoverflow-between_9055_1.txt;0.17;0.04;0.04;0.54;85.61;1.4;0.05;0.26;29.22;1.42;0.02;3.07;6.83;7.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.054611
(WKN|NC|INTSF)="", ""/([A-Z]{4}) (AIRMET|SIGMET) (\w{1,3}) VALID (\d{6}\/\d{6}) ([A-Z]{4})-;../runGen4Rest/hyper-03-08/stackoverflow-between_9056_1.txt;0.0;0.02;0.04;1.23;2.14;1.41;0.0;0.28;0.26;0.03;0.02;0.3;1.02;0.96;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.729175
(Y{4}(([LCDH]Y)|Y))|(T{4}(([DM]T)|T))"", ""(.*Y{4}(([LCDH]Y)|Y).*)|(.*T{4}(([DM]T)|T).*)"", ""Y{4}[LCDH]?Y|T{4}[DM]?T;../runGen4Rest/hyper-03-08/stackoverflow-between_9057_1.txt;0.03;0.08;0.04;0.58;TO;1.1;0.02;0.26;TO;0.02;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.30001
([#&][^\x20\x2C\s]{,200});../runGen4Rest/hyper-03-08/stackoverflow-between_9058_1.txt;0.01;0.02;0.09;0.47;0.81;0.55;0.0;0.27;0.09;0.02;0.01;0.06;0.08;0.74;1;0;0;0;0;0;ERR;0;1;0;0;1;;0;11.587509
([0-9]{1,3}/[0-9]{1,3})"", ""([0-9]{1,3}\/[0-9]{1,3}\[0-9]{1,3}\/[0-9]{1,3})|([0-9]{1,3})|([0-9]{1,3}\/[0-9]{1,3});../runGen4Rest/hyper-03-08/stackoverflow-between_9059_1.txt;0.02;0.01;0.03;0.35;0.37;0.65;0.0;0.27;0.09;0.02;1.72;1.0;0.53;0.66;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300001
([0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\:[0-9]{5})|([a-z]+\.[a-z]+\.[a-z]+\:[0-9]{5})"", ""+"", ""[a-z];../runGen4Rest/hyper-03-08/stackoverflow-between_9060_1.txt;0.03;0.04;0.04;0.54;5.98;1.19;0.0;0.25;1.58;0.14;2.69;1.62;1.92;0.88;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300017
([0-9]{1,5}.{5,20}(dr|drive)(\.|\s|\,))"", ""(\d{1,5}\s[^\d].{5,20}(dr|drive)(\.|\s|\,))"", ""PO Box 156 430 S Wheeling Dr. Wheeling, IL 60090;../runGen4Rest/hyper-03-08/stackoverflow-between_9061_1.txt;0.0;0.01;ERR;0.76;69.28;8.1;0.0;0.29;16.68;2.61;0.02;6.93;11.56;5.16;0;0;ERR;0;0;0;ERR;0;0;0;0;0;0;0;11.141442
([0-9]{10})|([0-9]{10}\s*\,\s*[0-9]{10});../runGen4Rest/hyper-03-08/stackoverflow-between_9062_1.txt;0.04;0.03;0.08;0.56;2.66;1.06;0.0;0.25;0.74;0.07;1.33;0.92;0.58;0.71;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
([0-9]{10}|[0-9]{12})"", ""[0-9]{10,12};../runGen4Rest/hyper-03-08/stackoverflow-between_9063_1.txt;0.05;0.02;0.05;0.59;6.77;1.21;0.04;0.26;0.1;0.18;0.02;1.53;0.94;2.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.092312
